# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.650000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	1.597067e-02	1.730827e-04	1.579759e-02	3.124902e-01	7.097406e+00	-6.784915e+00	6.941160e+00	-7.812254e-03	3.992668e-04	3.036998e-17	3.992668e-04	-3.992668e-04
20            	-1.222657e-02	-3.291433e-02	2.068776e-02	1.072042e+00	5.124025e+00	-4.051983e+00	4.588004e+00	-2.680105e-02	-3.056643e-04	8.696943e-17	-3.056643e-04	3.056643e-04
30            	9.546049e-02	2.425265e-02	7.120784e-02	9.391039e-01	4.053945e+00	-3.114841e+00	3.584393e+00	-2.347760e-02	2.386512e-03	-3.671105e-17	2.386512e-03	-2.386512e-03
40            	-3.587356e-02	-2.553495e-02	-1.033862e-02	3.039266e-01	9.769563e+00	-9.465637e+00	9.617600e+00	-7.598165e-03	-8.968390e-04	-4.604503e-17	-8.968390e-04	8.968390e-04
50            	-2.718514e-02	-3.923380e-02	1.204866e-02	1.025649e+00	7.896177e+00	-6.870528e+00	7.383352e+00	-2.564123e-02	-6.796286e-04	3.478695e-17	-6.796286e-04	6.796286e-04
60            	-3.457452e-02	-4.417005e-02	9.595536e-03	1.075312e+00	8.024362e+00	-6.949050e+00	7.486706e+00	-2.688279e-02	-8.643629e-04	1.254871e-17	-8.643629e-04	8.643629e-04
70            	-5.118433e-02	-5.065386e-02	-5.304728e-04	1.002468e+00	8.889235e+00	-7.886767e+00	8.388001e+00	-2.506169e-02	-1.279608e-03	-6.859738e-18	-1.279608e-03	1.279608e-03
80            	-6.976807e-02	-5.847326e-02	-1.129482e-02	9.435688e-01	9.987678e+00	-9.044110e+00	9.515894e+00	-2.358922e-02	-1.744202e-03	-1.210117e-17	-1.744202e-03	1.744202e-03
90            	-8.965224e-02	-6.817739e-02	-2.147486e-02	9.340506e-01	1.116313e+01	-1.022908e+01	1.069611e+01	-2.335127e-02	-2.241306e-03	2.351604e-18	-2.241306e-03	2.241306e-03
100           	-9.970664e-02	-7.681234e-02	-2.289430e-02	1.078361e+00	1.148604e+01	-1.040768e+01	1.094686e+01	-2.695902e-02	-2.492666e-03	2.650612e-17	-2.492666e-03	2.492666e-03
